Ciudad,Nombre,Telefono,Direccion,Calificacion,Num_Resenas,Enlace_Actual,Link_Google_Maps
Monterrey,EZENZI,,,"5,0",49,,https://www.google.com/maps/place/EZENZI/data=!4m7!3m6!1s0x8662bf18abdcd0fd:0xd495a02fd1521772!8m2!3d25.667137!4d-100.3164361!16s%2Fg%2F11yq72jqpx!19sChIJ_dDcqxi_YoYRchdS0S-gldQ
Monterrey,María María Fragancias Valle,,,"4,7",340,,https://www.google.com/maps/place/Mar%C3%ADa+Mar%C3%ADa+Fragancias+Valle/data=!4m7!3m6!1s0x8662bd0f066c97a3:0x41da956bfbb8304e!8m2!3d25.658488!4d-100.363481!16s%2Fg%2F11p01y0zcn!19sChIJo5dsBg-9YoYRTjC4-2uV2kE
Monterrey,Dessein Perfumería,81 8374 4450,,"4,5",33,,https://www.google.com/maps/place/Dessein+Perfumer%C3%ADa/data=!4m7!3m6!1s0x8662958161021eab:0xf6b7573bc2f62d3d!8m2!3d25.6801088!4d-100.3035918!16s%2Fg%2F11c5_41ctd!19sChIJqx4CYYGVYoYRPS32wjtXt_Y
Monterrey,Mezclando Aromas (Plaza Chepevera),81 3244 3162,,"4,6",40,,https://www.google.com/maps/place/Mezclando+Aromas+%28Plaza+Chepevera%29/data=!4m7!3m6!1s0x866295f7d5369dd3:0xd37db332bb8b212b!8m2!3d25.6829338!4d-100.3451735!16s%2Fg%2F11lc_whmf8!19sChIJ05021feVYoYRKyGLuzKzfdM
Monterrey,María María Fragancias San Agustín,,,"4,6",171,,https://www.google.com/maps/place/Mar%C3%ADa+Mar%C3%ADa+Fragancias+San+Agust%C3%ADn/data=!4m7!3m6!1s0x8662bfc7c88a9b05:0xe1711a4cbdd3266c!8m2!3d25.6530334!4d-100.341131!16s%2Fg%2F11svn2fb38!19sChIJBZuKyMe_YoYRbCbTvUwaceE
Monterrey,Esencias y Materiales Lozmar,800 967 8098,,"4,0",55,,https://www.google.com/maps/place/Esencias+y+Materiales+Lozmar/data=!4m7!3m6!1s0x86629565ec43ffff:0x9e74ef6a9d191880!8m2!3d25.687537!4d-100.2892208!16s%2Fg%2F11sb35nx5_!19sChIJ__9D7GWVYoYRgBgZnWrvdJ4
Monterrey,Zen-Cia,81 2973 5951,,"4,7",61,,https://www.google.com/maps/place/Zen-Cia/data=!4m7!3m6!1s0x866295a7e381551d:0xc5e5dc1d30a728bd!8m2!3d25.7031996!4d-100.2658276!16s%2Fg%2F11sbq91g8g!19sChIJHVWB46eVYoYRvSinMB3c5cU
Monterrey,Aromáticos Y Fragancias De Monterrey Sa De Cv,81 8057 4432,,"4,5",103,,https://www.google.com/maps/place/Arom%C3%A1ticos+Y+Fragancias+De+Monterrey+Sa+De+Cv/data=!4m7!3m6!1s0x866294cd9131267f:0x210afaec62283fa7!8m2!3d25.7382014!4d-100.26383!16s%2Fg%2F1vxf_lmq!19sChIJfyYxkc2UYoYRpz8oYuz6CiE
Monterrey,habitual perfumes,81 8333 1815,,"5,0",34,,https://www.google.com/maps/place/habitual+perfumes/data=!4m7!3m6!1s0x866297211b6799e3:0xc47f3e06eb4c96bd!8m2!3d25.6815554!4d-100.3515219!16s%2Fg%2F11xf2hw0yd!19sChIJ45lnGyGXYoYRvZZM6wY-f8Q
Monterrey,Laboratorios Galo,81 8375 6054,,"4,2",450,,https://www.google.com/maps/place/Laboratorios+Galo/data=!4m7!3m6!1s0x86629583e33176af:0x8fa05fc68e5c8efc!8m2!3d25.6813624!4d-100.3099536!16s%2Fg%2F1tm8k_xr!19sChIJr3Yx44OVYoYR_I5cjsZfoI8
